m,A,split1,still1,split2,still2,split3,still3
31,401,31.549935263365587,24.508162058724558,7.917931140278778,11.17643643671267,12.474265582111107,10.647574137702678
31,411,32.066713120302694,22.424464721766558,8.119908870940462,11.155277971053597,12.464608485444543,10.651056920170497
31,421,32.52002878718462,20.418562447341486,8.727257529515182,10.245956907940505,12.126068011338136,10.720557511824838
31,431,32.90815425773399,18.49453109876359,8.423517175065987,11.256262563066189,12.680969675292337,11.04737595145404
31,441,32.18283267450516,21.92739205379578,8.255338304927625,10.93121631711984,12.437932883896211,10.666610585557049
31,451,31.18777655373956,25.873549027011826,8.020125939142591,10.696377007142871,12.162554529509416,10.255301545328372
31,461,31.677781300593505,24.004915622063777,7.689921254270921,11.792889138606839,12.76727285551942,4.419336248317151
31,471,32.1203460046526,22.193285701332822,8.181564465341323,11.05410324597343,12.443292077455066,10.670917199248956
31,481,32.514157835285815,20.4415914840141,8.714727875437859,10.255820639259056,12.149647486885716,10.73577018049696
31,491,32.858068623522804,18.752551245299088,8.725597758424588,10.540288671178901,12.30363371898547,10.680881264095955
41,1,20.99269388418945,78.75090636298046,57.87015923344708,41.63261856888172,32.1938204990951,67.39958351124012
41,11,40.835012164036996,45.43500441720915,33.387571590858826,43.06666759891738,3.7398556768261786,63.56587381535511
41,21,34.96936477892535,30.186743284198865,30.249437488614124,29.414732047048194,16.76108177742506,37.380320003966006
41,31,33.35141706446936,26.102605977148567,26.471519115017323,25.057394069210225,23.98192915434616,36.265244212219265
41,41,32.75147633022161,24.673451387774143,22.608720908045164,21.480178420834395,25.139167047018375,30.398510410876888
41,51,32.55558954998462,23.70480851068735,19.676602915720228,18.426317791940978,22.473397911653656,33.1641719090198
41,61,32.439642883663886,23.190075115343006,17.826395832945053,16.31631919276508,19.025344546745487,32.16136491472635
41,71,32.168361282423945,23.653289028723158,16.572156956803493,14.819108391916346,15.826759692273464,31.296544154765726
41,81,32.459059635972984,22.111694406952545,15.762737781192016,14.152844025242285,13.643070637539543,30.635241389203248
41,91,32.13897743777531,23.134745361261107,15.135808476258896,13.477480955344143,12.099827197509713,29.958035179132704
41,101,32.45800383368352,21.62273990458332,14.753364870380892,13.034029153808435,10.814597889942924,29.56144898384285
41,111,32.418097322524766,21.638117387067354,14.428034304318285,12.762636221285359,10.035232459582549,29.153997780424497
41,121,32.017393497418674,23.18718553471085,14.09631121043259,12.15850683315779,9.14829135431923,28.73232171572333
41,131,32.055969490987124,22.948110264392376,13.934883817195786,12.19577080947487,8.256485219711783,28.456951600608697
41,141,31.840061742253866,23.747228848424644,13.689722643998664,11.596640730482047,7.505858929480223,28.043550452809367
41,151,32.32232556939115,21.70773019777983,13.619152322176923,11.464863441829808,7.0856373572416125,27.9042764688322
41,161,32.188392539109145,22.23134194581632,13.504259935617629,11.538259612494294,7.042489206928451,27.76906955901547
41,171,31.860507716490545,23.537789687822656,13.381990642595914,11.459348182243495,6.910898567557101,27.627717575164656
41,181,31.914318696293197,23.292265513739626,13.379665953549575,11.752089820180059,7.147827617035192,27.61797721940806
41,191,31.839500359629056,23.567191635263406,13.224946469007866,11.275397312129417,6.560027219925766,27.34843067593301
41,201,31.629836736007018,24.370298868335745,13.096758470596154,10.968760177084965,6.294081094648457,27.033950456447194
41,211,32.591075835416014,20.29594933550236,13.245232476473753,11.630777528391189,6.590390140268673,27.322119022620683
41,221,32.25101100702841,21.802577024434118,13.08970303001308,11.01030607294512,6.069975535309744,26.96622433350258
41,231,31.743976398151723,23.87767455043654,13.02032843649949,11.088549277876805,6.173581051221735,26.978199141429226
41,241,32.57317957186896,20.326099560135617,13.144837922117844,11.699574236396018,6.954921339794903,27.180052220956647
41,251,31.928655420870953,23.113930659565614,13.041501086302166,11.375277893078705,6.384269473156853,27.013088051639183
41,261,32.667091241180344,19.854529054283105,13.075907143809129,11.56994100431416,6.7312886290217815,27.01286015015107
41,271,31.855649352454385,23.391359729660856,13.005539367260868,11.418609684168082,6.3843020352326585,26.974335050889124
41,281,32.55626207814096,20.35881353925535,12.946897804267019,11.033334149684629,5.895871950486206,26.624333411948374
41,291,31.512426256704124,24.725403974032247,12.689250921726003,10.347136441399421,5.3807823527544345,26.18340727519845
41,301,32.21539852137019,21.87092899479551,12.85116731089277,10.818506978992403,5.639248038365121,26.49495656422599
41,311,31.937796308364753,23.030796829125265,12.890508184283592,11.205924584247454,6.0382854640625405,26.735051664620286
41,321,31.572106176162173,24.479909582336568,12.776908604917974,10.846438923040813,5.724655822072345,26.500658599174265
41,331,32.207072791763494,21.889621937893182,12.798660248086966,10.778230274336758,5.546653483604038,26.385904383913854
